search_category,time,tweet_text
rain,2019-06-21 04:23:44,And they will be on the prowl 🤨
sun,2019-06-21 04:23:46,I believe we are surrounded by positive vibes. #energy #summer #love #like #instagood #lifestyle #photooftheday… https://t.co/cs8m7QE9it
rain,2019-06-21 04:23:48,@Dame_Lillard @BarstoolBigCat @PFTCommenter this league
sun,2019-06-21 04:23:50,"RT @gunboss68: Right now I bet damn near every fighter the IRAF can put up is flying just inside the 12 mile limit. My recommendation, doub…"
sun,2019-06-21 04:23:52,RT @VijayIsMyLife: I'm waking up to Simtaangaran song on Sun Music. The first face I'm seeing today is Thalapathy's. What a start this is!…
sun,2019-06-21 04:23:54,*DOES NOT INCLUDE...grrr I hate this phone
sun,2019-06-21 04:23:56,RT @missgrandphuket: Hello sunshine☀️ภูเก็ตเป็นเมืองร้อน 
sun,2019-06-21 04:23:58,"@BrentonSpeed Not clear and obvious, get lost. The VAR was meant for HOWLERS"
rain,2019-06-21 04:24:00,RT @eaph92: 1. They're not late! They were arrived and already check-in on time
sun,2019-06-21 04:24:02,RT @BenjaminNorton: Let's be clear: The Trump admin sent a drone into what Iran says was its sovereign airspace. The US knew Iran would sho…
sun,2019-06-21 04:24:04,RT @tsukkimomo: sunshine boy ☀️ #haikyuu https://t.co/lST9NM7p7O
rain,2019-06-21 04:24:06,RT @damepesoo: Everytime i put money up for a rainy day it rain the next day....
sun,2019-06-21 04:24:08,RT @victuurii: vote @HarryShumJr for #ChoiceSciFiFantasyTVActor for clear skin and a clear conscience 🥰✨#TeenChoice https://t.co/J4JSyUe4tT
rain,2019-06-21 04:24:10,"It will be hard ..but we have to keep trump away from the ""little red button"" until 2020.. or we won't  have to worry about 2020 !!"
sun,2019-06-21 04:24:12,"@priyankagandhi The basic nature of RSS cadre cannot be changed. They are anti- Muslims , pro -rich , and believe i… https://t.co/EDE2dXCuOy"
sun,2019-06-21 04:24:14,Google Todd at the Vancouver Sun
sun,2019-06-21 04:24:16,"RT @USS_LST_325: The #OfficialLST325 will be closed to tours on on Sat., June 22nd and Sun., June 23rd as we take part in events for the #S…"
sun,2019-06-21 04:24:18,"Just what I needed. Vacation time with family, good food, sunshine, lots of laughs and hugs. Im so happy and so gra… https://t.co/42h45jUE5Q"
sun,2019-06-21 04:24:20,RT @tburages: How many of Trump's lawyers are possibly under investigation for obstruction of justice?
sun,2019-06-21 04:24:22,@LittleSavage_ Man tell sunshine lay down
rain,2019-06-21 04:24:24,Right 👍🏽
sun,2019-06-21 04:24:26,RT @imblasian__: IDK who controllin the weather but they got this bitch on shuffle
sun,2019-06-21 04:24:28,RT @RegieMaristela1: Clear skin 
rain,2019-06-21 04:24:30,@sIutgvrden This sounds like the best idea and I’m about to do it when I take super hot showers
rain,2019-06-21 04:24:32,It’s been raining so now everything seems cool and nice weather 👻💆🏼‍♂️
rain,2019-06-21 04:24:34,LET IT GOOO LET IT GOOO
sun,2019-06-21 04:24:36,RT @MikeJohnstonCO: Cory Gardner is one of Mitch McConnell’s key allies in the Senate. And McConnell and his big-money allies are going all…
rain,2019-06-21 04:24:38,RT @nicole_bertrand: @Jim_Jordan HIT THE SHOWERS GYM @Jim_Jordan  🤼‍♀️🤼‍♂️🤼‍♂️🤼‍♀️🤼‍♂️🚿 #Creeper #GymKnew https://t.co/rFtXtvLFlE
sun,2019-06-21 04:24:40,"RT @renato_mariotti: Just to be crystal clear, if Hicks was not interviewed, it would not be clear exactly what the Administration would ob…"
rain,2019-06-21 04:24:42,RT @rougecerise_: — give away
sun,2019-06-21 04:24:44,"RT @charlesallen: Hey DC, keep your calendar clear on July 24. #DCStatehood gets a hearing in the US House for 1st time in 25 years. 702,00…"
sun,2019-06-21 04:24:46,RT @IraHeatBeat: Heat draft Kentucky shooting specialist Tyler Herro at No. 13. https://t.co/HnQeht4ScL
rain,2019-06-21 04:24:48,@scarymvies a year without rain 
sun,2019-06-21 04:24:50,RT @ewarren: This @UN investigation makes it clear: The Saudi Arabian government deliberately planned to murder @WashingtonPost journalist…
sun,2019-06-21 04:24:52,"RT @TheLawofWork: Students at my daughter’s school have been told they can’t take physics or English in grade 11. Full, and no longer capac…"
sun,2019-06-21 04:24:54,RT @tonetalks: @BreakingBrown @JacksonLeeTX18 did not invite the founders of the movement #ados that created this energy and version of rep…
sun,2019-06-21 04:24:56,"RT @HikindDov: With the sharp rise in antisemitic hate crimes and the mainstreaming of antisemites in the halls of Congress, we expect our…"
rain,2019-06-21 04:24:58,"""I will, you have my word on that Jotaro. Your daughter doesn't deserve this as much as any of you. I'll make sure… https://t.co/I7ljBfAfym"
sun,2019-06-21 04:25:00,@jakesgvf fav brave new world &amp; mountain of the sun
rain,2019-06-21 04:25:02,RT @RhaignJiron: HELLO 
rain,2019-06-21 04:25:04,"@duker_61 If they're higher than cruise altitude with rain falling from the bottom, stay away. If they are ""boiling… https://t.co/hjvpwSRn3k"
rain,2019-06-21 04:25:06,"These days, they don't give a fuck they'll shoot where the kids playin"
rain,2019-06-21 04:25:08,Aussie's Latest Weather Data 11:55 AM Temp 14.5°C Humidity 55% Wind 0.0 km/h Today's Rain   0 mm
rain,2019-06-21 04:25:10,"RT @EngelWX: (1/2) Duck, NC. The warned storm in this video was moving at 65 mph https://t.co/UznZoXLR2r"
rain,2019-06-21 04:25:12,"There was a rain cell coming at us, thankfully it narrowly missed us. First pitch at 7:30."
rain,2019-06-21 04:25:14,RT @OH_mes2: Pledis Entertainment apologizes for SEVENTEEN causing a delay on their Okinawa-Incheon flight
rain,2019-06-21 04:25:16,RT @two_oh_teen: To sum it up. 
rain,2019-06-21 04:25:18,RT @OH_mes2: Pledis Entertainment apologizes for SEVENTEEN causing a delay on their Okinawa-Incheon flight
rain,2019-06-21 04:25:20,RT @JoelOsteen: God said He would give you water without rain; that means God can promote you even though you don’t have the experience. Go…
sun,2019-06-21 04:25:22,RT @victuurii: vote @HarryShumJr for #ChoiceSciFiFantasyTVActor for clear skin and a clear conscience 🥰✨#TeenChoice https://t.co/J4JSyUe4tT
rain,2019-06-21 04:25:24,@kimguilfoyle We REALLY need your help. Lake Ontario is being flooded because of a crazy policy by the IJC. The 201… https://t.co/eowCv9OwFM
rain,2019-06-21 04:25:26,10pm: Mostly Cloudy 15.8C - - Wind: NNE 14km/h - Barometer: 100.6 kPa ^ - Vis: 24.1km - Hum: 91% #London #Weather
sun,2019-06-21 04:25:28,"just to be clear this occurred in stan twitter sooooo Im good, if they end up finding this thread then... good luck Charlie"
sun,2019-06-21 04:25:30,RT @waltshaub: @mimix3 You watch what happens to the border if we get sucked into a full scale war. The war will be used to justify much wo…
rain,2019-06-21 04:25:32,"I'm horrible with replying to DMs😩. One minute we're having a great convo, then I start smoking and forget to pick my phone back up 🤦🏾‍♂️"
sun,2019-06-21 04:25:34,"Turn on #househunters and realize it's in my town.  BTW, there is no way she is getting all that in Ithaca for $250… https://t.co/wn45ugCobh"
rain,2019-06-21 04:25:36,RT @two_oh_teen: To sum it up. 
sun,2019-06-21 04:25:38,RT @Leon59094463: Sunny Leone deep Pussy https://t.co/1Kc7BXbKOq
rain,2019-06-21 04:25:40,@snowbikemike Def diving into this in... *Checks download time*... 16 minutes!
sun,2019-06-21 04:25:42,RT @waltshaub: @mimix3 You watch what happens to the border if we get sucked into a full scale war. The war will be used to justify much wo…
rain,2019-06-21 04:25:44,"Let’s go, @JeffMcNeil805 !!!!!! 👏🏼😃 #LGM"
sun,2019-06-21 04:25:46,"@deplorabledudes @MSNBC No there is no clear line between ""terror"" and ""conquest"". If I burn your village to the gr… https://t.co/dtE8jNN0os"
rain,2019-06-21 04:25:48,RT @nedthetoothpik: Little owl in falling rain. https://t.co/ptce0d1wAx
rain,2019-06-21 04:25:50,"Iran is already under severe sanctions and embargoes, destroy what little is left and they will have absolutely not… https://t.co/YYmXl9Ll4X"
rain,2019-06-21 04:25:52,@howimoveyou @eversole7 our. boys.
sun,2019-06-21 04:25:54,RT @richyxez: The older I get the more I appreciate ppl who are straightforward and clear about their intentions. I don’t have time for tha…
sun,2019-06-21 04:25:56,Descendants of the Sun. I was so obsessed. I ended up re-watching it right after.
rain,2019-06-21 04:25:58,@CoachWallyRig No. That is not what I mean.
sun,2019-06-21 04:26:00,‘Clean electricity’ will dominate power supply https://t.co/GYXtX5hDOF https://t.co/SGJSZuhvkF
rain,2019-06-21 04:26:02,Of course he does
sun,2019-06-21 04:26:04,RT @two_oh_teen: To sum it up. 
rain,2019-06-21 04:26:06,"in ffxiii, i can hang out with my very good friends lightning and fang whenever i want?? maybe the developers shoul… https://t.co/TqL7Vw6hCq"
sun,2019-06-21 04:26:08,RT @GabbyGiffords: The House passed the bipartisan background checks bill. Senator McConnell is blocking it.
rain,2019-06-21 04:26:10,"NWS Paducah KY issued a Flood Warning for Daviess, KY; Vanderburgh, IN; Henderson, KY; Spencer, IN; Warrick, IN. Expiring at 01:23 AM (Lo..."
rain,2019-06-21 04:26:12,"NWS Paducah KY issued a Flood Warning for Union, KY; Gallatin, IL; Hardin, IL; Crittenden, KY. Expiring at 01:23 AM (Local)"
rain,2019-06-21 04:26:14,@open4profit @Josh_Rager @KoroushAK @LisaNEdwards @MustStopMurad @edwardmorra_btc Storm begins .. #btc
rain,2019-06-21 04:26:16,BUNBURY: The rainfall in the 24 hours to 9am today was 0.0 mm. The rainfall total for the month (01 to 21 June 2019… https://t.co/WQt7MqkiFA
rain,2019-06-21 04:26:18,Has anyone looked at the global weather? Check out the winds. No hurricanes in sight? Not even a low coming off Afr… https://t.co/Jdyk87NewE
rain,2019-06-21 04:26:20,RT @Momoka_Koizumi: I haven't reached payout on Manyvids yet. Help me get there!
rain,2019-06-21 04:26:22,RT @III_SeanK: FEMA publishes flood insurance claim records going back to 1978.  
sun,2019-06-21 04:26:24,RT @leszmart: setting sun #JIMIN #btsfanart #art @BTS_twt https://t.co/EkpSoZf1ka
sun,2019-06-21 04:26:26,@PedanticRomantc &gt; bad person
rain,2019-06-21 04:26:28,Being fat sucks but then I keep eating McDonald’s and drinking beer so idk
sun,2019-06-21 04:26:30,RT @EmmaVigeland: I want to be clear.
sun,2019-06-21 04:26:32,The sky looks cloudy today.... I hope it will clear up soon... ##;'hj;;'g
rain,2019-06-21 04:26:34,RT @Melbourne: Flinders Street Station is even more charming in the rain (via IG/jenny.fuji). https://t.co/w9uBbRJrZi
rain,2019-06-21 04:26:36,RT @In_my_mind1313: Goodnight everyone. It's been an extremely long day so I'm heading off for the night. Also it's supposed to rain like h…
sun,2019-06-21 04:26:38,30ml Poly Nail Gel Finger Extension Clear Pink Jelly Gel Quick Building Nail Tips Extend Builder UV Gel
sun,2019-06-21 04:26:40,I WILL ALWAYS APPRECIATE THE SUN THANK YOU FOR NOT BEING JOBLESS FOR MY PERFECT BARED SELFIE lol https://t.co/09wviaKSZn
sun,2019-06-21 04:26:42,@RepBarbaraLee Thank you for making that clear Rep. Lee.  We are so tired of war.
sun,2019-06-21 04:26:44,RT @PhEXOLVolunteer: [INFO] 062119 UPDATE with EXO: EXO PLANET #5 - EXpℓOration in HONG KONG
rain,2019-06-21 04:26:46,[TRANS] #WekiMeki #Elly #Sei #위키미키 #엘리 #세이
rain,2019-06-21 04:26:48,RT @StopFemaNow: @firefighters510 @StopFemaNowSG @SenSchumer @SenGillibrand WATCH VIDEO :  700% Flood insurance premium increase to over $1…
rain,2019-06-21 04:26:50,@TheRickWilson @donlemon Tuned in
rain,2019-06-21 04:26:52,@FLOTUS We REALLY need your help. Lake Ontario is being flooded because of a crazy policy by the IJC. The 2017 floo… https://t.co/yh7N3mmjim
rain,2019-06-21 04:26:54,RT @battlettendency: annasui after being on a mission alone with weather report https://t.co/63hz9VlwEZ
rain,2019-06-21 04:26:56,@blackroomsec @ErikaVonDoom Messing around taking pics in a storm... electronic ISO did some funky things...
rain,2019-06-21 04:26:58,RT @tovaramyy: and y’all prefer this shit over winter ? TRIPPENNN https://t.co/P7GEBShVFK
sun,2019-06-21 04:27:00,RT @yixingspixie: EXplOration in Hong Kong confirmed 🎉🎉🎉
sun,2019-06-21 04:27:02,RT @theseoulstory: Pledis Ent apologizes for the flight delay SEVENTEEN caused on a recent flight 
rain,2019-06-21 04:27:04,perhaps being able to add a intense amount of water directly to a volatile region will make the neccessary enviornm… https://t.co/OwxZx59Hh7
sun,2019-06-21 04:27:06,RT @yixingspixie: EXplOration in Hong Kong confirmed 🎉🎉🎉
rain,2019-06-21 04:27:08,RT @JonMills20: It has reached a point where many area farmers will not plant a corn crop this year. It's just too wet and long-range weath…
sun,2019-06-21 04:27:10,EXplØration in Japan would be nice too. I want to go to Japan after my daughter gets settled in her college dorm.… https://t.co/HRjCONoKqm
sun,2019-06-21 04:27:12,RT @iamtikasumpter: Genuinely happy and grateful that I get go 39 years around the sun today. Thank you for all the birthday wishes! Love y…
sun,2019-06-21 04:27:14,Sun kissed sky light edition ☀️ https://t.co/Ro8YiTypIy
rain,2019-06-21 04:27:16,"RT @rzzsmpg_: It's normal to cry, when you feel it hurts remember even the clouds rain when its heavy."
sun,2019-06-21 04:27:18,RT @mrjonginkim: sunshine https://t.co/sCsMnOFT72
sun,2019-06-21 04:27:20,RT @adelladellaide: Morning sunshine. https://t.co/10xC7GuPW3
sun,2019-06-21 04:27:22,RT @kathleenhayn: On the new season of It's Always Sunny https://t.co/GQjbXGys9K
sun,2019-06-21 04:27:24,RT @ZerlinaMaxwell: Imagine you’re a black person. 
rain,2019-06-21 04:27:26,"RT @NWSILN: [10:02 PM] Light showers will continue to be possible for the next few hours, and then fog is possible near sunrise.  High pres…"
sun,2019-06-21 04:27:28,RT @OH_mes2: Pledis Entertainment apologizes for SEVENTEEN causing a delay on their Okinawa-Incheon flight
sun,2019-06-21 04:27:30,Dont get to excited by Hope Hicks Ted.  Your base might think your switching teams.  Shes enough to turn any gray m… https://t.co/2bj4Nd4jfs
sun,2019-06-21 04:27:32,RT @TheRealSlamBrad: @thecrewsdad Earf: 
rain,2019-06-21 04:27:34,If it taste good 😭
